Index,case,accept to use AI? trust it?,require explanation? (yes/no/x(not asked)),1st round: specific explanation,2nd round: Comments on card sorting choices ,cards fulfill requirement? (y/n/partial/x(not asked)/black:accept blackbox AI and not require explaination),1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
P01,#Health-bias,y,y,需要知道用在我身上准不准,细分不同人群的performance,y,performance,,,,,,,,,,,,
P01,#Health-multi,y,y,"因为涉及保费,需要解释","@fa可以告诉我具体的feature数值和比重,可以看到决策的具体依据,因为这是核算保费的方式,@fa是已经成型的现实数据",y,fa,,,,,,,,,,,,
P01,#Health-unexpect-lowRisk,y,y,why,se也是80%想看看有没有feature重叠的地方; performance都要看看对不对,y,se,performance,,,,,,,,,,,
P01,#Health-unexpect-highRisk,y,y,想知道为什么预测这么低,"prior想看看在大群体里我落在什么区间上,和周围人有个参考,帮我看看为什么有家族史却风险只有10%",y,performance,prior,,,,,,,,,,,
P01,#Health-expected-highRisk,y,n,反正已经很有可能得DM,看预测的准不准,y,performance,,,,,,,,,,,,
P01,#Health-expected-lowRisk,y,n,不需要,,black,none,,,,,,,,,,,,
P01,#Health-control,y,y,suggestion,"@ce suggestion; @se 是反向的suggestion, high risk人的特征我就反着做. @fa不行,因为我还是倾向real case, 而@fa是根据别人的特征提炼出来的,大数据可能会中和掉一些东西,而我要的是更具体的case和建议.",y,ce,se,,,,,,,,,,,
P01,#Car-safe,y,y,,"@performance: can tell the reliable; @irc 做对比 can compare with my own judgment, and see if align with my feature attribute; @te 有更多图片参考 看重有百分比作为对@irc的补充.@se 没有百分比, ",y,performance,irc,te,,,,,,,,,,
P01,#Car-unexpect,n,n,,"se ai认为相似,我也许不认为相似,通过这个找出ai的缺陷",n,irc,te,se,,,,,,,,,,
P01,#Car-bias,y,y,,"ir看detect的obj irc看百分比 dt看路况决策是否有问题  不选performance觉得没这些重要,喜欢看图",n,irc,ir,dt,,,,,,,,,,
P01,#Car-multi,n,y,,,n,none,,,,,,,,,,,,
P01,#Car-communicate,y,y,,"ir 可以直观看到AI是怎么看到detect obj的,图比较大,也不用解释百分比; @rt 就是一个比较直观的结论,要不然剩下这些还要解释啥意思,特别麻烦,多余的信息对于交流没有帮助,她们不需要了解这些,我自己了解就可以了.",y,ir,rt,,,,,,,,,,,
